Nome,Endereço,CEP,Cidade,Estado,País,lat,lng
JMR Placas,"SIA Trecho 1 SN Lote 1050/1070, Fundos",71200-012,Brasília,DFEMP1,BR,-15.806104974025,-47.96159287306458
Posto Veredas,AV DIOGO NAVES,74370-695,Goiania,GO5ED,BR,-16.72443093903363,-49.33823967378625
Posto Auto Volume,ALAMEDA DOS EUCALIPTOS QUADRA 107 LOTE 13,71920-010,Brasilia,DFSD,BR,-15.828494903639687,-48.03205612884399
Auto Posto Fenix 3,Quadra Eptg 03 Conjunto 01 Lote02,72001-036,Brasília,DFSD,BR,-15.829311190284068,-48.0388426055708
Posto Jarjour 113 Sul,"Quadra Sqs 113, 01",70376-000,Brasília,DFSD,BR,-15.827143097519873,-47.91567424593006
Auto Posto R. Mall,Q SHRF QN 7 AE 1,71805-700,Brasília,DFSD,BR,-15.878068582531489,-48.02018465101705
Auto Posto Fenix EPTG,EPTG Chácara 54,72005-305,Brasília,DFSD,BR,-15.81510741657675,-48.00811000254598
Posto Amorim,R FRANCISCO CLAUDINO DO SANTOS 324,83833-056,FAZENDA RIO GRANDE,PRRG,BR,-25.64566657544843,-49.316186018762124
Posto Metrópole Estados,Avenida Paraná 4223,83830-058,Fazenda Rio Grande,PRRG,BR,-25.669492252132233,-49.320727739330906
Auto Posto Smaff,STN 716 Conjunto D Bloco 1,70770-100,Brasília,DFGGED,BR,-15.735203799368277,-47.901390552522486
Posto Jarjour Taguatinga,"CSB 08 LOTE 01 a 05, Taguatinga Sul",72015-585,Brasília,DFGGED,BR,-15.840254095368977,-48.05059271649197
Posto Rota 203 Norte,"203 NORTE, SHCN",70833-000,Brasília,DFGGED,BR,-15.779438592717131,-47.88018743830076
Posto Rota 406 Sul,Q SHC/SUL SQ 406 PLL,70.255-00,Brasília,DFGGED,BR,-15.817430840380188,-47.89545561395359
Posto Rota 411 Norte,CLN 411 BLOCO B,70297-400,Brasília,DFGGED,BR,-15.753441883858734,-47.88303841346562
Posto Jarjour 206 Norte,SHC SQ 206 Bloco A Pag,70844-000,Brasília,DFGGED,BR,-15.76926452839601,-47.87921223716394
Posto Rota 103 Sul,Q SQS 103 BLOCO A,70342-010,Brasília,DFGGED,BR,-15.80630547825842,-47.89023341741481
Posto R13 Santa Maria,"AC 219 Conj A Lote 01/04, Santa Maria",72549-305,Brasília,DFGGED,BR,-16.004098,-47.98706418
Posto Xandão,Av. Fued José Sebba,74805-100,Goiânia,GO5SGA,BR,-16.690335330011767,-49.23919067599723
Xpetro Multirão,Av Mutirão N° 2.496 QD 78 LT 23-E,74215-240,Goiânia,GO5SGA,BR,-16.698328636895383,-49.269520466305806
Posto Céu-070,"GLEBA 04, LOTE 499, MODULO B, PICAG, CEILANDIA NORTE, BRASILIA - DF BR-070 Km 14,7",72276-010,Brasilia,DF22,BR,-15.79846369010168,-48.17873649407776
Posto Colina PSul,Qnn 34 Lote F PLL,72220-346,Brasília,DF2SD,BR,-15.843559183017828,-48.10521344222661
Auto Posto JPC,Q 301 RUA A CONJUNTO 2 Lote 4,71.901-02,Brasília,DF2SD,BR,-15.827949764317125,-48.011204275403585
Auto Posto Recanto,AV RECANTO QUADRA 205 LOTE 03,72.610535,Brasília,DF2SD,BR,-15.904583358194675,-48.06692827054409
Auto Posto Quality QNL,QNL 11 CONJ F LOTE 18,72151-106,Brasília,DF2SD,BR,-15.828058,-48.088307
Auto Posto Quality SIG,ST SIG CONJ C Lote 01,72153-503,Brasília,DF2SD,BR,-15.83353138896414,-48.082417502344555
Auto Posto 310 Norte,Q SHCN SUPERQUADRA 310 Bloco B PLL 03,70756-520,Brasília,DF2SD,BR,-15.7575247474,-47.88936262225626
Auto Posto Petrox Japaratuba Centro,"RUA DR. OTAVIO ACIOLY , 264",49960-000,JAPARATUBA,SJT01,BR,-10.590062338786252,-36.943429863823546
Auto Posto Petrox Aquidabã,RUA PARAGUAI 2256,49790-000,AQUIDABÃ,SEA01,BR,-10.293497595279096,-37.02177119255645
Posto Gato Preto,Av. Perimetral Norte Nº 7354,74573-260,Goiânia,GO5P2,BR,-16.633570608303298,-49.28112609881657
Xpetro Independência,Av Independencia nº 5070 Qd 02 Lt 08,74045-010,Goiânia,GO5P2,BR,-16.665297406821768,-49.26627589219268
Posto Águia,Avenida Anhanguera N° 13.343 Quadra 01 Lote 01/02/06,74453-495,Goiânia,GO5P2,BR,-16.655286991691575,-49.33034891601183
Xpetro T63,Av.T63 Qd.333 Lt12/13,742503-25,Goiânia,GO5P2,BR,-16.716866602888963,-49.28990426535648
Xpetro Paranaiba,RUA PADRE MONTE 1793 QD 02 LT 22/23,74485-150,Goiânia,GO5P2,BR,-16.690091212815172,-49.33840101213926
Xpetro Leste Oeste,RUA SENADOR JAIME,74550-490,Goiânia,GO5P2,BR,-16.663366412161054,-49.2839557119309
Auto Posto Petrox Indiaroba,RUA LUIZ EDUARDO MAGALHÕES S/N,49.250-00,INDIAROBA,SEI01,BR,-11.519384462507192,-37.5231891462468
Auto Posto Original 415,"SHCS 415 Lote 03 PLL, Asa Sul",72298-000,Brasília,DFGASP,BR,-15.8348279,-47.91939463
Auto Posto do Turista,"Rua Pedro Branco de Souza, n 17, Qd 11 Lt 06",75680-017,Caldas Novas,GOSD1,BR,-17.74119675318532,-48.624907487171534
Total óleo,Rua Abel Scuissiato,83408-280,Colombo,PROL02,BR,-25.38063416561226,-49.18463020198714
Ponto do Óleo Express,"Av. Pres. Arthur Bernardes, 2132",80320-300,Curitiba,PROL03,BR,-25.469215176774984,-49.29653237202106
Lava Jato Beltrão,"Quadra 44 Conjunto A, Parque da Barragem",72910-103,Águas Lindas de Goiás,GOLAP,BR,-15.746992105980233,-48.26651673890136
Auto Posto Petrox Barra,ROD. ENGENHEIRO ADILSON TAVORA S/N,49.140-00,BARRA DOS COQUEIROS,SE3,BR,-10.907927156955264,-37.023803460205066
Auto Posto Petrox BR,"BR 235, km 04, S/N",49160-000,Nossa Senhora do Socorro,SE4,BR,-10.90348854956612,-37.12676392397012
Auto Posto Petrox Marcos Freire,AV COLETORA A Nº 2457 LOTE 1 A QUADRA 52A,49.160-00,NOSSA SENHORA DO SOCORRO,SE4,BR,-10.844005473693912,-37.06617360438464
Posto Nossa Senhora D&#39;ajuda,"AV PORTO SEGURO, 40",45820-002,Eunapolis ,BA4,BR,-16.373300630997832,-39.58136752699386
 New Park Lava Rápido,Av. Perimetral Norte,74573-140,Goiânia,GO2LAP,BR,-16.634459307997925,-49.2820811661468
Lava Jato Panorama,Qd. E Lt. 10 Res. Murumbi,74574-001,Goiânia,GO2LAP,BR,-16.644301632180614,-49.278263551395035
Auto Clean,Rua Francisco Magalhães,74565-450,Goiânia,GO2LAP,BR,-16.638434161269007,-49.27417771421609
Posto Cidade Do Povo,"Ramal do Herculano, n°268",69908-768,Rio Branco,AC,BR,-10.013467029302191,-67.76040604732884
Império Animalli&#39;s,Rua 3 Ch 30 Lote 10/11 Loja 01,720056330,Brasília,DFPE2,BR,-15.790934110407017,-48.01169194498219
Auto Posto Oliveira Cruzeiro,AV EUCLIDES DA CUNHA S/Nº QD 01 LOTE 45,74917-195,Aparecida de Goiania,GO91,BR,-16.763521194458008,-49.27273178100586
Auto Posto Oliveira Paraíso,AV 4ª AVENIDA - QUADRA46 LOTE 01E,74.948-01,Aparecida de Goiânia,GO91,BR,-16.80630265278921,-49.355381539853035
Posto Veiga,"Av. Veiga Valle, Qd 130 - Lote 01",74955-520,Aparecida de Goiânia,GO91,BR,-16.796992875404484,-49.282043508256194
Posto Oliveira Village Garavelo,R PIRINEUS QUADRA04 LOTE 02E,74968-539,Aparecida de Goiânia,GO91,BR,-16.819570789758664,-49.2480968497257
Ducha Car do Gordim,"Av. Presidente Wilson, 123",75115-100,Anápolis,GO3LAP,BR,-16.335886858011616,-48.94937666179129
Auto Posto Guaira,"R. Mato Grosso, 75",72910-000,Águas Lindas de Goiás,GO4SC,BR,-15.760609787073193,-48.2449074042981
Posto Cidade Natal,Av. Senador Salgado Filho,59064-000,Natal,RNP,BR,-5.815081038527277,-35.206149222931
Posto Candelária,Av. Prudente de Morais,59064-630,Natal,RNP,BR,-5.831977051297117,-35.217755660990726
Posto Carau,próximo a Av. Industrial João Francisco da Mota,59072-480,Natal,RNP,BR,-5.805354275275451,-35.239699298508775
Posto do Doutor,"Av. Mal. Floriano Peixoto, 467 - Petrópolis",59020-500,Natal,RNP,BR,-5.784683081540557,-35.20185379076544
Auto Posto Caxangá,Av Caxanga n° 830,50711-095,Recife,REC,BR,-8.052832147741762,-34.915926612251845
Posto Apolo,"Cais Do Apolo, 790",50030-230,Recife,REC,BR,-8.055303930272434,-34.87185431717697
Posto Vinci,Siqueira Campos 27,89300-042,Mafra,SC4,BR,-26.124410103033544,-49.80527840165487
Posto Ararinha Azul III,"Rua Padre Cícero, 874",48611-030,Paulo Afonso,BA5,BR,-9.446568757154045,-38.21283618937406
Posto Ararinha Azul II,"Rua Barão de Jeremoabo, S/N",48540-000,Jeremoabo,BA6,BR,-10.06587362719564,-38.349270309551905
Posto Xavante Itaúna,"Av. JK, 1375",35680-415,Itaúna,MG4,BR,-20.079098198314245,-44.60183859207248
Posto Xavante Itatiaiuçu,Rua dos Passos 105,35540-000,Oliveira,MG5,BR,-20.69978859670539,-44.822680893167316
Posto Xavante Arcos,Av Doutor João Vaz Sobrinho 1302,35588-000,Arcos,MG6,BR,-20.288440590775803,-45.534302176412176
Posto ED+,"Rua Cascavel, 1664",83410-270,Colombo,PR6,BR,-25.36410990950044,-49.16807204567291
Lava Jato Lemos,Praça 3 Bloco A Loja 7 Setor Sul,72410-230,Brasília,DFLAP2,BR,-16.033257377397867,-48.06413057182922
Lava Jato Rota 290,"Rodovia DF 290, KM 1,2, chácara 11, loja 12,",72.578-00,Santa Maria,DFLAP2,BR,-16.04669279560511,-47.99101994877652
Lava a Jato 310 Norte,SHCN QUADRA 310 NORTE BLOCO B POSTO DE GASOLINA 310 NORTE,70756-520,Brasília,DFLAP2,BR,-15.757598447510754,-47.88936519623016
Lava Jato Posto JK,"Avenida Doutor Neilo Rolim, Quadra 15 - Parque Alvorada I",72815-450,LUZIÂNIA,GOLA1,BR,-16.222706630868515,-47.93582732573354
Posto JFerro Palmas,"Avenida LO 27, Quadra 1.202 Sul, lote 19",77024-382,Palmas,TO,BR,-10.255807,-48.330887
Posto Park Caldas II,"Rod. Go-213 e 413, S/n QD 04 - LT 01-A, Jardim Paraíso",75690-000,Caldas Novas,GO1,BR,-17.7271111,-48.627423821
Posto JFerro Goiânia,"Avenida Anhanguera, N° 10049",74430-030,Goiânia,GO5ED2,BR,-16.669212,-49.302383
Posto da Torre (São Rafael),St SHS Quadra 5 Bloco F PLL,70315-000,Brasília,DF6,BR,-15.7933476,-47.892517721
Posto Verão,"Avenida 402 Sul Avenida Lo 9, S/N",77021-632,Palmas,TO2,BR,-10.2053036762945,-48.33141863558236
Posto Primavera,"Quadra 204 S Av Ns 02, 01",77020-486,Palmas,TO2,BR,-10.192824024898718,-48.32999623562074
Rodoposto,"LOT COQUEIRINHO, 2 ETAPA FLS 04 LOTE 01",77.001-00,Palmas,TOP,BR,-10.247641628738966,-48.31137765581169
Ecoposto Jotapinto,"Av. Jose Emidio de Lima , 12",57307-350,Arapiraca,AL2,BR,-9.724553639792855,-36.67867844035018
Posto Jota Pinto,RODOVIA AL 110 KM 70,57302-802,Arapiraca,AL2,BR,-9.751714106540248,-36.636793156190116
Auto Posto Sales Bezerra,"Avenida Deputada Ceci Cunha, 564, Quadra0020 Lote 0274",57313-085,Arapiraca,AL2,BR,-9.74874426869887,-36.6487541042485
Posto Bosque das Arapiracas,"R. Delmiro Gouveia, 1382",57311-565,Arapiraca,AL2,BR,-9.7423803974612,-36.65906072729973
Posto São Luiz III,"Avenida Jaguarari, 5000",59064-500,Natal,RN3,BR,-5.836236949368762,-35.225653939436306
Posto Raissa 2,"AVENIDA ALMIRANTE ALEXANDRINO DE ALENCAR,776",059022350,NATAL,RN3,BR,-5.801365101472416,-35.21155427807765
Posto São Luiz II,AV PRUDENTE DE MORAIS 4476,59063-200,NATAL,RN3,BR,-5.821244029871098,-35.21370741979427
Posto São Luiz IV,"Avenida Prudente de Morais, 2056",59022-400,Natal,RN3,BR,-5.800564861352118,-35.2064729383947
